No,product,policy_year,policy_month,policy_day,sex,age,term,deposits,number,premium,amount,deposit_year,deposit_month
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,4
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,5
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,6
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,7
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,8
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,9
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,10
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,11
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2024,12
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2025,1
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2025,2
1,E,2019,4,20,M,20,10,72,1,8953,1000000,2025,3
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,4
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,5
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,6
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,7
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,8
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,9
2,E,2020,7,14,F,30,20,57,4,8926,2000000,2024,10
2,E,2020,7,14,F,30,20,57,2,8926,2000000,2024,11
2,E,2020,7,14,F,30,20,57,2,8926,2000000,2024,12
2,E,2020,7,14,F,30,20,57,2,8926,2000000,2025,1
2,E,2020,7,14,F,30,20,57,2,8926,2000000,2025,2
2,E,2020,7,14,F,30,20,57,2,8926,2000000,2025,3
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,4
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,5
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,6
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,7
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,8
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,9
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,10
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,11
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2024,12
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2025,1
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2025,2
3,E,2021,10,4,M,40,30,42,3,9249,3000000,2025,3
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,4
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,5
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,6
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,7
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,8
